#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 418: Corral Pass, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous      N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous      N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous      N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous      N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Corral Pass (418) 
# Washington  SNOTEL Site - 5800 ft
# Reporting Frequency: Hourly; Date Range: 2022-11-01 00:00 to 2023-04-30 23:00
#
# As of: May 14, 2023 4:11:17 PM GMT-08:00
#
Date,Station Id,Station Name,Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Observed (degF),Elevation (ft),Latitude,Longitude
2022-11-02 19:00,418,Corral Pass,2.2,,3.6,24.4,5800,47.01872,-121.46464
2022-11-02 20:00,418,Corral Pass,2.2,,3.6,24.1,5800,47.01872,-121.46464
2022-11-02 21:00,418,Corral Pass,2.2,,3.5,22.5,5800,47.01872,-121.46464
2022-11-02 22:00,418,Corral Pass,2.1,5,3.4,19.0,5800,47.01872,-121.46464
2022-11-02 23:00,418,Corral Pass,2.0,5,3.4,19.9,5800,47.01872,-121.46464
2022-11-03 00:00,418,Corral Pass,2.0,6,3.4,19.8,5800,47.01872,-121.46464
2022-11-03 01:00,418,Corral Pass,2.0,6,3.3,20.8,5800,47.01872,-121.46464
2022-11-03 02:00,418,Corral Pass,2.0,6,3.3,21.7,5800,47.01872,-121.46464
2022-11-03 03:00,418,Corral Pass,2.0,5,3.3,19.9,5800,47.01872,-121.46464
2022-11-03 04:00,418,Corral Pass,2.0,,3.4,21.7,5800,47.01872,-121.46464
2022-11-03 05:00,418,Corral Pass,2.0,,3.4,21.6,5800,47.01872,-121.46464
2022-11-03 06:00,418,Corral Pass,2.0,,3.5,21.0,5800,47.01872,-121.46464
2022-11-03 07:00,418,Corral Pass,2.0,,3.5,20.8,5800,47.01872,-121.46464
2022-11-03 08:00,418,Corral Pass,2.0,,3.5,22.3,5800,47.01872,-121.46464
2022-11-03 09:00,418,Corral Pass,2.1,,3.5,24.1,5800,47.01872,-121.46464
2022-11-03 10:00,418,Corral Pass,2.2,,3.6,25.5,5800,47.01872,-121.46464
2022-11-03 11:00,418,Corral Pass,2.2,,3.7,27.1,5800,47.01872,-121.46464
2022-11-03 12:00,418,Corral Pass,2.2,,3.8,26.1,5800,47.01872,-121.46464
2022-11-03 13:00,418,Corral Pass,2.3,,3.8,25.9,5800,47.01872,-121.46464
2022-11-03 14:00,418,Corral Pass,2.4,,3.9,27.1,5800,47.01872,-121.46464
2022-11-03 15:00,418,Corral Pass,2.4,4,3.9,26.4,5800,47.01872,-121.46464
2022-11-03 16:00,418,Corral Pass,2.4,6,3.9,26.1,5800,47.01872,-121.46464
2022-11-03 17:00,418,Corral Pass,2.5,7,4.0,25.9,5800,47.01872,-121.46464
2022-11-03 18:00,418,Corral Pass,2.5,,4.0,25.9,5800,47.01872,-121.46464
2022-11-03 19:00,418,Corral Pass,2.6,8,4.0,26.6,5800,47.01872,-121.46464
2022-11-03 20:00,418,Corral Pass,2.7,10,4.2,28.2,5800,47.01872,-121.46464
2022-11-03 21:00,418,Corral Pass,2.9,,4.3,29.8,5800,47.01872,-121.46464
2022-11-03 22:00,418,Corral Pass,3.1,,4.4,31.3,5800,47.01872,-121.46464
2022-11-03 23:00,418,Corral Pass,3.3,,4.6,31.8,5800,47.01872,-121.46464
2022-11-04 00:00,418,Corral Pass,3.4,13,4.7,32.7,5800,47.01872,-121.46464
2022-11-04 01:00,418,Corral Pass,3.5,,4.8,33.3,5800,47.01872,-121.46464
2022-11-04 02:00,418,Corral Pass,3.6,,4.8,33.8,5800,47.01872,-121.46464
2022-11-04 03:00,418,Corral Pass,3.7,,4.8,34.2,5800,47.01872,-121.46464
2022-11-04 04:00,418,Corral Pass,3.8,,4.9,34.3,5800,47.01872,-121.46464
2022-11-04 05:00,418,Corral Pass,3.8,16,5.1,35.4,5800,47.01872,-121.46464
2022-11-04 06:00,418,Corral Pass,3.9,14,5.3,36.0,5800,47.01872,-121.46464
2022-11-04 07:00,418,Corral Pass,3.9,,5.4,36.9,5800,47.01872,-121.46464
2022-11-04 08:00,418,Corral Pass,3.9,,5.6,38.3,5800,47.01872,-121.46464
2022-11-04 09:00,418,Corral Pass,4.0,,5.8,39.4,5800,47.01872,-121.46464
2022-11-04 10:00,418,Corral Pass,4.0,,6.1,39.6,5800,47.01872,-121.46464
2022-11-04 11:00,418,Corral Pass,4.0,10,6.3,38.8,5800,47.01872,-121.46464
2022-11-04 12:00,418,Corral Pass,4.0,,6.5,39.2,5800,47.01872,-121.46464
2022-11-04 13:00,418,Corral Pass,4.0,7,6.8,39.2,5800,47.01872,-121.46464
2022-11-04 14:00,418,Corral Pass,4.0,8,7.0,39.6,5800,47.01872,-121.46464
2022-11-04 15:00,418,Corral Pass,4.0,,7.2,39.6,5800,47.01872,-121.46464
2022-11-04 16:00,418,Corral Pass,3.9,7,7.4,39.9,5800,47.01872,-121.46464
2022-11-04 17:00,418,Corral Pass,3.9,7,7.6,40.1,5800,47.01872,-121.46464
2022-11-04 18:00,418,Corral Pass,3.8,,7.8,40.5,5800,47.01872,-121.46464
2022-11-04 19:00,418,Corral Pass,3.8,,7.9,40.8,5800,47.01872,-121.46464
2022-11-04 20:00,418,Corral Pass,3.7,,8.0,40.6,5800,47.01872,-121.46464
2022-11-04 21:00,418,Corral Pass,3.7,,8.1,40.1,5800,47.01872,-121.46464
2022-11-04 22:00,418,Corral Pass,3.6,,8.3,39.0,5800,47.01872,-121.46464
2022-11-04 23:00,418,Corral Pass,3.6,7,8.3,36.0,5800,47.01872,-121.46464
2022-11-05 00:00,418,Corral Pass,3.6,7,8.2,30.9,5800,47.01872,-121.46464
2022-11-05 01:00,418,Corral Pass,3.4,6,8.2,27.9,5800,47.01872,-121.46464
2022-11-05 02:00,418,Corral Pass,3.3,6,8.2,26.2,5800,47.01872,-121.46464
2022-11-05 03:00,418,Corral Pass,3.3,,8.2,26.1,5800,47.01872,-121.46464
2022-11-05 04:00,418,Corral Pass,3.3,,8.1,25.3,5800,47.01872,-121.46464
2022-11-05 05:00,418,Corral Pass,3.2,,8.1,25.0,5800,47.01872,-121.46464
2022-11-05 06:00,418,Corral Pass,3.2,,8.1,25.2,5800,47.01872,-121.46464
2022-11-05 07:00,418,Corral Pass,3.3,,8.1,23.7,5800,47.01872,-121.46464
2022-11-05 08:00,418,Corral Pass,3.2,,8.1,24.8,5800,47.01872,-121.46464
2022-11-05 09:00,418,Corral Pass,3.3,,8.1,25.7,5800,47.01872,-121.46464
2022-11-05 10:00,418,Corral Pass,3.4,,8.2,25.3,5800,47.01872,-121.46464
2022-11-05 11:00,418,Corral Pass,3.4,,8.2,25.0,5800,47.01872,-121.46464
2022-11-05 12:00,418,Corral Pass,3.4,,8.3,24.6,5800,47.01872,-121.46464
2022-11-05 13:00,418,Corral Pass,3.5,,8.3,25.0,5800,47.01872,-121.46464
2022-11-05 14:00,418,Corral Pass,3.5,9,8.4,24.6,5800,47.01872,-121.46464
2022-11-05 15:00,418,Corral Pass,3.5,8,8.4,24.3,5800,47.01872,-121.46464
2022-11-05 16:00,418,Corral Pass,3.5,,8.3,23.5,5800,47.01872,-121.46464
2022-11-05 17:00,418,Corral Pass,3.5,,8.3,23.5,5800,47.01872,-121.46464
2022-11-05 18:00,418,Corral Pass,3.5,,8.3,23.4,5800,47.01872,-121.46464
2022-11-05 19:00,418,Corral Pass,3.4,,8.3,23.2,5800,47.01872,-121.46464
2022-11-05 20:00,418,Corral Pass,3.4,,8.2,23.0,5800,47.01872,-121.46464
2022-11-05 21:00,418,Corral Pass,3.4,,8.2,23.0,5800,47.01872,-121.46464
2022-11-05 22:00,418,Corral Pass,3.4,,8.2,23.5,5800,47.01872,-121.46464
2022-11-05 23:00,418,Corral Pass,3.4,,8.2,23.7,5800,47.01872,-121.46464
2022-11-06 00:00,418,Corral Pass,3.4,8,8.2,25.2,5800,47.01872,-121.46464
2022-11-06 01:00,418,Corral Pass,3.4,8,8.2,25.9,5800,47.01872,-121.46464
2022-11-06 02:00,418,Corral Pass,3.5,10,8.3,27.0,5800,47.01872,-121.46464
2022-11-06 03:00,418,Corral Pass,3.5,,8.3,27.7,5800,47.01872,-121.46464
2022-11-06 04:00,418,Corral Pass,3.5,,8.4,27.5,5800,47.01872,-121.46464
2022-11-06 05:00,418,Corral Pass,3.6,,8.4,27.5,5800,47.01872,-121.46464
2022-11-06 06:00,418,Corral Pass,3.7,,8.4,27.3,5800,47.01872,-121.46464
2022-11-06 07:00,418,Corral Pass,3.8,,8.5,27.3,5800,47.01872,-121.46464
2022-11-06 08:00,418,Corral Pass,3.9,,8.6,27.0,5800,47.01872,-121.46464
2022-11-06 09:00,418,Corral Pass,4.1,,8.7,26.2,5800,47.01872,-121.46464
2022-11-06 10:00,418,Corral Pass,4.1,,8.8,26.2,5800,47.01872,-121.46464
2022-11-06 11:00,418,Corral Pass,4.1,,8.8,26.6,5800,47.01872,-121.46464
2022-11-06 12:00,418,Corral Pass,4.2,,8.9,27.5,5800,47.01872,-121.46464
2022-11-06 13:00,418,Corral Pass,4.2,,8.9,27.3,5800,47.01872,-121.46464
2022-11-06 14:00,418,Corral Pass,4.2,,8.9,27.1,5800,47.01872,-121.46464
2022-11-06 15:00,418,Corral Pass,4.2,,8.9,26.2,5800,47.01872,-121.46464
2022-11-06 16:00,418,Corral Pass,4.2,,8.9,25.0,5800,47.01872,-121.46464
2022-11-06 17:00,418,Corral Pass,4.2,,8.8,24.3,5800,47.01872,-121.46464
2022-11-06 18:00,418,Corral Pass,4.1,,8.8,24.3,5800,47.01872,-121.46464
2022-11-06 19:00,418,Corral Pass,4.2,,8.8,24.4,5800,47.01872,-121.46464
2022-11-06 20:00,418,Corral Pass,4.2,,8.8,24.4,5800,47.01872,-121.46464
2022-11-06 21:00,418,Corral Pass,4.2,,8.8,24.1,5800,47.01872,-121.46464
2022-11-06 22:00,418,Corral Pass,4.2,,8.8,24.1,5800,47.01872,-121.46464
2022-11-06 23:00,418,Corral Pass,4.2,,8.8,24.1,5800,47.01872,-121.46464
2022-11-07 00:00,418,Corral Pass,4.3,14,8.9,23.7,5800,47.01872,-121.46464
2022-11-07 01:00,418,Corral Pass,4.4,,9.0,23.2,5800,47.01872,-121.46464
2022-11-07 02:00,418,Corral Pass,4.4,,9.0,23.2,5800,47.01872,-121.46464
2022-11-07 03:00,418,Corral Pass,4.5,,9.0,23.0,5800,47.01872,-121.46464
2022-11-07 04:00,418,Corral Pass,4.5,,9.0,22.8,5800,47.01872,-121.46464
2022-11-07 05:00,418,Corral Pass,4.5,,9.0,23.0,5800,47.01872,-121.46464
2022-11-07 06:00,418,Corral Pass,4.5,,9.0,23.0,5800,47.01872,-121.46464
2022-11-07 07:00,418,Corral Pass,4.5,,9.0,22.3,5800,47.01872,-121.46464
2022-11-07 08:00,418,Corral Pass,4.4,,9.0,21.2,5800,47.01872,-121.46464
2022-11-07 09:00,418,Corral Pass,4.5,,9.0,23.5,5800,47.01872,-121.46464
2022-11-07 10:00,418,Corral Pass,4.6,16,9.2,24.6,5800,47.01872,-121.46464
2022-11-07 11:00,418,Corral Pass,4.7,18,9.3,27.1,5800,47.01872,-121.46464
2022-11-07 12:00,418,Corral Pass,4.7,19,9.4,28.0,5800,47.01872,-121.46464
2022-11-07 13:00,418,Corral Pass,4.8,17,9.4,27.0,5800,47.01872,-121.46464
2022-11-07 14:00,418,Corral Pass,4.8,,9.4,26.4,5800,47.01872,-121.46464
2022-11-07 15:00,418,Corral Pass,4.8,,9.4,26.6,5800,47.01872,-121.46464
2022-11-07 16:00,418,Corral Pass,4.8,20,9.3,25.9,5800,47.01872,-121.46464
2022-11-07 17:00,418,Corral Pass,4.7,,9.3,25.7,5800,47.01872,-121.46464
2022-11-07 18:00,418,Corral Pass,4.7,17,9.2,25.3,5800,47.01872,-121.46464
2022-11-07 19:00,418,Corral Pass,4.6,18,9.2,25.3,5800,47.01872,-121.46464
2022-11-07 20:00,418,Corral Pass,4.6,16,9.1,24.8,5800,47.01872,-121.46464
2022-11-07 21:00,418,Corral Pass,4.6,18,9.1,23.7,5800,47.01872,-121.46464
2022-11-07 22:00,418,Corral Pass,4.6,,9.1,24.3,5800,47.01872,-121.46464
2022-11-07 23:00,418,Corral Pass,4.6,,9.1,24.1,5800,47.01872,-121.46464
2022-11-08 00:00,418,Corral Pass,4.6,18,9.1,24.1,5800,47.01872,-121.46464
2022-11-08 01:00,418,Corral Pass,4.6,,9.1,24.1,5800,47.01872,-121.46464
2022-11-08 02:00,418,Corral Pass,4.6,,9.1,24.4,5800,47.01872,-121.46464
2022-11-08 03:00,418,Corral Pass,4.6,,9.1,24.4,5800,47.01872,-121.46464
2022-11-08 04:00,418,Corral Pass,4.6,,9.2,24.4,5800,47.01872,-121.46464
2022-11-08 05:00,418,Corral Pass,4.6,,9.2,24.8,5800,47.01872,-121.46464
2022-11-08 06:00,418,Corral Pass,4.6,,9.2,24.6,5800,47.01872,-121.46464
2022-11-08 07:00,418,Corral Pass,4.7,,9.2,23.7,5800,47.01872,-121.46464
2022-11-08 08:00,418,Corral Pass,4.7,,9.2,22.6,5800,47.01872,-121.46464
2022-11-08 09:00,418,Corral Pass,4.7,,9.2,22.1,5800,47.01872,-121.46464
2022-11-08 10:00,418,Corral Pass,4.7,,9.2,22.3,5800,47.01872,-121.46464
2022-11-08 11:00,418,Corral Pass,4.7,,9.2,22.6,5800,47.01872,-121.46464
2022-11-08 12:00,418,Corral Pass,4.7,,9.2,23.5,5800,47.01872,-121.46464
2022-11-08 13:00,418,Corral Pass,4.8,,9.3,24.1,5800,47.01872,-121.46464
2022-11-08 14:00,418,Corral Pass,4.8,,9.3,24.1,5800,47.01872,-121.46464
2022-11-08 15:00,418,Corral Pass,4.8,,9.3,23.7,5800,47.01872,-121.46464
2022-11-08 16:00,418,Corral Pass,4.8,,9.3,23.9,5800,47.01872,-121.46464
2022-11-08 17:00,418,Corral Pass,4.7,,9.2,23.4,5800,47.01872,-121.46464
2022-11-08 18:00,418,Corral Pass,4.7,,9.2,23.5,5800,47.01872,-121.46464
2022-11-08 19:00,418,Corral Pass,4.6,,9.1,21.7,5800,47.01872,-121.46464
2022-11-08 20:00,418,Corral Pass,4.6,,9.1,22.1,5800,47.01872,-121.46464
2022-11-08 21:00,418,Corral Pass,4.6,,9.0,22.8,5800,47.01872,-121.46464
2022-11-08 22:00,418,Corral Pass,4.6,,9.0,24.4,5800,47.01872,-121.46464
2022-11-08 23:00,418,Corral Pass,4.6,,9.0,24.4,5800,47.01872,-121.46464
2022-11-09 00:00,418,Corral Pass,4.6,17,9.1,25.5,5800,47.01872,-121.46464
2022-11-09 01:00,418,Corral Pass,4.6,19,9.0,26.2,5800,47.01872,-121.46464
2022-11-09 02:00,418,Corral Pass,4.6,18,9.0,25.0,5800,47.01872,-121.46464
2022-11-09 03:00,418,Corral Pass,4.5,18,9.0,24.1,5800,47.01872,-121.46464
2022-11-09 04:00,418,Corral Pass,4.5,18,9.0,23.9,5800,47.01872,-121.46464
2022-11-09 05:00,418,Corral Pass,4.5,18,9.0,25.7,5800,47.01872,-121.46464
2022-11-09 06:00,418,Corral Pass,4.5,18,9.0,27.1,5800,47.01872,-121.46464
2022-11-09 07:00,418,Corral Pass,4.5,19,9.0,24.3,5800,47.01872,-121.46464
2022-11-09 08:00,418,Corral Pass,4.5,19,9.0,26.6,5800,47.01872,-121.46464
2022-11-09 09:00,418,Corral Pass,4.6,19,9.1,27.1,5800,47.01872,-121.46464
2022-11-09 10:00,418,Corral Pass,4.7,19,9.3,29.7,5800,47.01872,-121.46464
2022-11-09 11:00,418,Corral Pass,4.9,18,9.5,32.2,5800,47.01872,-121.46464
2022-11-09 12:00,418,Corral Pass,5.0,18,9.6,32.5,5800,47.01872,-121.46464
2022-11-09 13:00,418,Corral Pass,5.0,18,9.6,32.2,5800,47.01872,-121.46464
2022-11-09 14:00,418,Corral Pass,5.0,18,9.6,30.4,5800,47.01872,-121.46464
2022-11-09 15:00,418,Corral Pass,5.0,19,9.5,28.4,5800,47.01872,-121.46464
2022-11-09 16:00,418,Corral Pass,4.9,18,9.5,26.4,5800,47.01872,-121.46464
2022-11-09 17:00,418,Corral Pass,4.8,19,9.3,23.5,5800,47.01872,-121.46464
2022-11-09 18:00,418,Corral Pass,4.6,16,9.1,21.7,5800,47.01872,-121.46464
2022-11-09 19:00,418,Corral Pass,4.5,18,9.0,21.0,5800,47.01872,-121.46464
2022-11-09 20:00,418,Corral Pass,4.5,,9.0,21.2,5800,47.01872,-121.46464
2022-11-09 21:00,418,Corral Pass,4.4,,8.9,19.2,5800,47.01872,-121.46464
2022-11-09 22:00,418,Corral Pass,4.4,,8.9,20.5,5800,47.01872,-121.46464
2022-11-09 23:00,418,Corral Pass,4.4,,8.9,20.3,5800,47.01872,-121.46464
2022-11-10 00:00,418,Corral Pass,4.4,18,9.1,20.7,5800,47.01872,-121.46464
2022-11-10 01:00,418,Corral Pass,4.4,,9.0,20.7,5800,47.01872,-121.46464
2022-11-10 02:00,418,Corral Pass,4.4,,9.0,20.1,5800,47.01872,-121.46464
2022-11-10 03:00,418,Corral Pass,4.4,,9.0,20.8,5800,47.01872,-121.46464
2022-11-10 04:00,418,Corral Pass,4.5,,9.1,20.8,5800,47.01872,-121.46464
2022-11-10 05:00,418,Corral Pass,4.5,,9.1,20.5,5800,47.01872,-121.46464
2022-11-10 06:00,418,Corral Pass,4.4,,9.1,20.5,5800,47.01872,-121.46464
2022-11-10 07:00,418,Corral Pass,4.4,,9.1,20.1,5800,47.01872,-121.46464
2022-11-10 08:00,418,Corral Pass,4.4,,9.1,20.8,5800,47.01872,-121.46464
2022-11-10 09:00,418,Corral Pass,4.5,,9.1,21.4,5800,47.01872,-121.46464
2022-11-10 10:00,418,Corral Pass,4.5,,9.2,21.9,5800,47.01872,-121.46464
2022-11-10 11:00,418,Corral Pass,4.7,14,9.4,25.9,5800,47.01872,-121.46464
2022-11-10 12:00,418,Corral Pass,4.8,15,9.6,28.0,5800,47.01872,-121.46464
2022-11-10 13:00,418,Corral Pass,4.9,14,9.6,30.7,5800,47.01872,-121.46464
2022-11-10 14:00,418,Corral Pass,4.8,14,9.6,31.5,5800,47.01872,-121.46464
2022-11-10 15:00,418,Corral Pass,4.8,16,9.6,28.9,5800,47.01872,-121.46464
2022-11-10 16:00,418,Corral Pass,4.7,16,9.5,26.6,5800,47.01872,-121.46464
2022-11-10 17:00,418,Corral Pass,4.6,14,9.3,25.7,5800,47.01872,-121.46464
2022-11-10 18:00,418,Corral Pass,4.5,14,9.2,27.0,5800,47.01872,-121.46464
2022-11-10 19:00,418,Corral Pass,4.5,15,9.2,32.4,5800,47.01872,-121.46464
2022-11-10 20:00,418,Corral Pass,4.4,16,9.1,29.1,5800,47.01872,-121.46464
2022-11-10 21:00,418,Corral Pass,4.4,16,9.1,32.5,5800,47.01872,-121.46464
2022-11-10 22:00,418,Corral Pass,4.4,15,9.1,32.2,5800,47.01872,-121.46464
2022-11-10 23:00,418,Corral Pass,4.4,14,9.1,32.5,5800,47.01872,-121.46464
2022-11-11 00:00,418,Corral Pass,4.4,15,9.1,32.9,5800,47.01872,-121.46464
