Date PDT,Temp F,PcpAc in,∆Pcp in,SWE in,∆SWE  in,SnoHt in,∆SnoHt in
Apr 20 0:00,24,,,54.2,0.4,130,3
Apr 19 23:00,25,,,54.2,0.4,130,3
Apr 19 22:00,25,,,54.1,0.3,130,3
Apr 19 21:00,26,,,54.1,0.4,130,3
Apr 19 20:00,26,,,54,0.3,130,5
Apr 19 19:00,27,,,54,0.2,126,-1
Apr 19 18:00,28,,,53.9,0.2,126,0
Apr 19 17:00,31,,,53.9,0.2,127,1
Apr 19 16:00,34,,,54,0.3,127,1
Apr 19 15:00,33,,,53.9,0.3,127,0
Apr 19 14:00,34,,,53.9,0.2,128,1
Apr 19 13:00,28,,,53.9,0.2,129,2
Apr 19 12:00,32,,,53.9,0.3,128,1
Apr 19 11:00,30,,,53.9,0.2,129,1
Apr 19 10:00,29,,,54,0.3,130,3
Apr 19 9:00,28,,,54,0.3,130,2
Apr 19 8:00,25,,,54,0.3,130,2
Apr 19 7:00,25,,,54,0.3,130,2
Apr 19 6:00,25,,,54,0.2,130,2
Apr 19 5:00,25,,,54,0.2,129,1
Apr 19 4:00,25,,,54,0.2,129,3
Apr 19 3:00,25,,,53.9,0.1,127,1
Apr 19 2:00,25,,,53.8,0,127,0
Apr 19 1:00,25,,,53.8,0,126,-1
Apr 19 0:00,25,,,53.8,-0.1,127,0
Apr 18 23:00,25,,,53.8,-0.1,127,0
Apr 18 22:00,25,,,53.8,-0.1,127,0
Apr 18 21:00,25,,,53.7,-0.2,127,1
Apr 18 20:00,26,,,53.7,-0.2,125,-1
Apr 18 19:00,27,,,53.8,-0.1,127,2
Apr 18 18:00,28,,,53.7,-0.2,126,1
Apr 18 17:00,27,,,53.7,-0.2,126,0
Apr 18 16:00,30,,,53.7,-0.1,126,2
Apr 18 15:00,30,,,53.6,-0.2,127,5
Apr 18 14:00,31,,,53.7,0,127,4
Apr 18 13:00,31,,,53.7,0,127,5
Apr 18 12:00,29,,,53.6,-0.1,127,5
Apr 18 11:00,28,,,53.7,-0.1,128,5
Apr 18 10:00,27,,,53.7,0,127,4
Apr 18 9:00,25,,,53.7,0,128,5
Apr 18 8:00,23,,,53.7,0.1,128,5
Apr 18 7:00,21,,,53.7,0.1,128,5
Apr 18 6:00,23,,,53.8,0.2,128,5
Apr 18 5:00,23,,,53.8,0.2,128,4
Apr 18 4:00,23,,,53.8,0.2,126,3
Apr 18 3:00,23,,,53.8,0.2,126,2
Apr 18 2:00,23,,,53.8,0.2,127,3
Apr 18 1:00,23,,,53.8,0.2,127,4
Apr 18 0:00,24,,,53.9,0.2,127,
Apr 17 23:00,25,,,53.9,0.3,127,6
Apr 17 22:00,26,,,53.9,0.3,127,6
Apr 17 21:00,26,,,53.9,0.3,126,4
Apr 17 20:00,26,,,53.9,0.3,126,4
Apr 17 19:00,27,,,53.9,0.3,125,2
Apr 17 18:00,29,,,53.9,0.3,125,3
Apr 17 17:00,30,,,53.9,0.4,126,4
Apr 17 16:00,29,,,53.8,0.3,124,3
Apr 17 15:00,29,,,53.8,0.3,122,1
Apr 17 14:00,28,,,53.7,0.2,123,1
Apr 17 13:00,30,,,53.7,0.2,122,1
Apr 17 12:00,31,,,53.7,0.3,122,1
Apr 17 11:00,33,,,53.8,0.4,123,4
Apr 17 10:00,30,,,53.7,0.3,123,4
Apr 17 9:00,28,,,53.7,0.4,123,6
Apr 17 8:00,24,,,53.6,0.3,123,5
Apr 17 7:00,23,,,53.6,0.2,123,5
Apr 17 6:00,23,,,53.6,0.2,123,5
Apr 17 5:00,22,,,53.6,0.2,124,6
Apr 17 4:00,23,,,53.6,0.2,123,5
Apr 17 3:00,23,,,53.6,0.2,124,6
Apr 17 2:00,23,,,53.6,0.2,124,5
Apr 17 1:00,24,,,53.6,0.2,123,4
Apr 17 0:00,24,,,53.7,0.3,,
Apr 16 23:00,25,,,53.6,0.2,121,3
Apr 16 22:00,25,,,53.6,0.2,121,2
Apr 16 21:00,26,,,53.6,0.2,122,3
Apr 16 20:00,28,,,53.6,0.2,122,4
Apr 16 19:00,29,,,53.6,0.1,123,5
Apr 16 18:00,31,,,53.6,0.1,122,4
Apr 16 17:00,31,,,53.5,0,122,4
Apr 16 16:00,33,,,53.5,0.1,121,3
Apr 16 15:00,35,,,53.5,0.1,121,2
Apr 16 14:00,33,,,53.5,0.1,122,3
Apr 16 13:00,34,,,53.5,0.1,121,2
Apr 16 12:00,33,,,53.4,0,121,2
Apr 16 11:00,33,,,53.4,0,119,0
Apr 16 10:00,32,,,53.4,-0.1,119,0
Apr 16 9:00,32,,,53.3,-0.2,117,-2
Apr 16 8:00,33,,,53.3,-0.3,118,-1
Apr 16 7:00,33,,,53.4,-0.2,118,-2
Apr 16 6:00,32,,,53.4,-0.2,118,-1
Apr 16 5:00,33,,,53.4,-0.2,118,-2
Apr 16 4:00,34,,,53.4,-0.2,118,-2
Apr 16 3:00,33,,,53.4,-0.2,118,-2
Apr 16 2:00,31,,,53.4,-0.1,119,-1
Apr 16 1:00,33,,,53.4,-0.1,119,-1
Apr 16 0:00,32,,,53.4,-0.1,119,-1
Apr 15 23:00,33,,,53.4,0,118,-2
Apr 15 22:00,35,,,53.4,0.1,119,-1
Apr 15 21:00,36,,,53.4,0.1,119,-1
Apr 15 20:00,35,,,53.4,0.2,118,-2
Apr 15 19:00,37,,,53.5,0.4,118,-2
Apr 15 18:00,40,,,53.5,0.5,118,-1
Apr 15 17:00,38,,,53.5,0.5,118,-1
Apr 15 16:00,38,,,53.4,0.6,118,-2
Apr 15 15:00,38,,,53.4,0.6,119,-1
Apr 15 14:00,41,,,53.4,0.6,119,-1
Apr 15 13:00,40,,,53.4,0.6,119,-1
Apr 15 12:00,40,,,53.4,0.6,119,-2
Apr 15 11:00,40,,,53.4,0.6,119,-2
Apr 15 10:00,37,,,53.5,0.7,119,-3
Apr 15 9:00,36,,,53.5,0.6,119,-3
Apr 15 8:00,31,,,53.6,0.7,119,-3
Apr 15 7:00,29,,,53.6,0.7,120,-2
Apr 15 6:00,31,,,53.6,0.6,119,-3
Apr 15 5:00,31,,,53.6,0.6,120,-2
Apr 15 4:00,30,,,53.6,0.6,120,-2
Apr 15 3:00,32,,,53.6,0.6,120,-2
Apr 15 2:00,28,,,53.5,0.5,120,-2
Apr 15 1:00,29,,,53.5,0.5,120,-2
Apr 15 0:00,28,,,53.5,0.5,120,-2
Apr 14 23:00,28,,,53.4,0.4,120,-2
Apr 14 22:00,29,,,53.3,0.3,120,-2
Apr 14 21:00,29,,,53.3,0.2,120,-2
Apr 14 20:00,31,,,53.2,0.1,120,-1
Apr 14 19:00,34,,,53.1,0,120,-1
Apr 14 18:00,38,,,53,-0.1,119,-2
Apr 14 17:00,41,,,53,-0.1,119,-2
Apr 14 16:00,41,,,52.8,-0.2,120,-1
Apr 14 15:00,41,,,52.8,-0.2,120,-1
Apr 14 14:00,39,,,52.8,-0.2,120,-1
Apr 14 13:00,39,,,52.8,-0.2,120,-2
Apr 14 12:00,36,,,52.8,-0.2,121,0
Apr 14 11:00,35,,,52.8,-0.2,121,-1
Apr 14 10:00,32,,,52.8,-0.2,122,0
Apr 14 9:00,28,,,52.9,-0.2,122,0
Apr 14 8:00,23,,,52.9,-0.2,122,0
Apr 14 7:00,19,,,52.9,-0.2,122,0
Apr 14 6:00,18,,,53,-0.2,122,0
Apr 14 5:00,19,,,53,-0.2,122,0
Apr 14 4:00,20,,,53,-0.2,122,0
Apr 14 3:00,24,,,53,-0.2,122,0
Apr 14 2:00,25,,,53,-0.2,122,0
Apr 14 1:00,23,,,53,-0.2,122,0
Apr 14 0:00,25,,,53,-0.2,122,0
Apr 13 23:00,27,,,53,-0.3,122,0
Apr 13 22:00,26,,,53,-0.3,122,0
Apr 13 21:00,28,,,53.1,-0.2,122,0
Apr 13 20:00,28,,,53.1,-0.2,121,-2
Apr 13 19:00,29,,,53.1,-0.2,121,-1
Apr 13 18:00,30,,,53.1,-0.3,121,-1
Apr 13 17:00,31,,,53.1,-0.3,121,-1
Apr 13 16:00,31,,,53,-0.4,121,-1
Apr 13 15:00,33,,,53,-0.4,121,-2
Apr 13 14:00,35,,,53,-0.5,121,-3
Apr 13 13:00,33,,,53,-0.5,122,-2
Apr 13 12:00,32,,,53,-0.5,121,-4
Apr 13 11:00,29,,,53,-0.6,122,-3
Apr 13 10:00,28,,,53,-0.6,122,-3
Apr 13 9:00,27,,,53.1,-0.6,122,-3
Apr 13 8:00,25,,,53.1,-0.6,122,-3
Apr 13 7:00,23,,,53.1,-0.7,122,-3
Apr 13 6:00,23,,,53.2,-0.6,122,-3
Apr 13 5:00,23,,,53.2,-0.7,122,-4
Apr 13 4:00,22,,,53.2,-0.7,122,-4
Apr 13 3:00,20,,,53.2,-0.8,122,-4
Apr 13 2:00,21,,,53.2,-0.8,122,-4
Apr 13 1:00,23,,,53.2,-0.8,122,-4
Apr 13 0:00,24,,,53.2,-0.9,122,-4
Apr 12 23:00,25,,,53.3,-0.8,122,-4
Apr 12 22:00,25,,,53.3,-0.9,122,-4
Apr 12 21:00,25,,,53.3,-0.9,122,-4
Apr 12 20:00,26,,,53.3,-1,123,-3
Apr 12 19:00,27,,,53.3,-1,122,-4
Apr 12 18:00,28,,,53.4,-1,122,-4
Apr 12 17:00,33,,,53.4,-1,122,-4
Apr 12 16:00,34,,,53.4,-1.1,122,-4
Apr 12 15:00,33,,,53.4,-1.1,123,-5
Apr 12 14:00,32,,,53.5,-1.1,124,-4
Apr 12 13:00,31,,,53.5,-1.1,124,-4
Apr 12 12:00,31,,,53.5,-1.1,125,-2
Apr 12 11:00,31,,,53.6,-1,125,-1
Apr 12 10:00,27,,,53.6,-1,125,-1
Apr 12 9:00,26,,,53.7,-1,125,2
Apr 12 8:00,24,,,53.7,-1.1,125,3
Apr 12 7:00,20,,,53.8,-1,125,2
Apr 12 6:00,19,,,53.8,-1.1,125,2
Apr 12 5:00,19,,,53.9,-1.1,126,3
Apr 12 4:00,18,,,53.9,-1.1,126,3
Apr 12 3:00,18,,,54,-1.1,126,5
Apr 12 2:00,19,,,54,-1.1,126,3
Apr 12 1:00,18,,,54,-1.2,126,3
Apr 12 0:00,16,,,54.1,-1.2,126,4
Apr 11 23:00,18,,,54.1,-1.3,126,4
Apr 11 22:00,19,,,54.2,-1.2,126,3
Apr 11 21:00,23,,,54.2,-1.3,126,5
Apr 11 20:00,25,,,54.3,-1.3,126,4
Apr 11 19:00,27,,,54.3,-1.3,126,3
Apr 11 18:00,29,,,54.4,-1.2,126,3
Apr 11 17:00,30,,,54.4,-1.2,126,3
Apr 11 16:00,31,,,54.5,-1.1,126,3
Apr 11 15:00,35,,,54.5,-1.1,128,4
Apr 11 14:00,29,,,54.6,-0.9,128,4
Apr 11 13:00,27,,,54.6,-0.9,128,4
Apr 11 12:00,28,,,54.6,-0.8,127,3
Apr 11 11:00,28,,,54.6,-0.8,126,2
Apr 11 10:00,29,,,54.6,-0.8,126,2
Apr 11 9:00,28,,,54.7,-0.6,123,-1
Apr 11 8:00,27,,,54.8,-0.5,122,-1
Apr 11 7:00,27,,,54.8,-0.4,123,1
Apr 11 6:00,27,,,54.9,-0.1,123,1
Apr 11 5:00,27,,,55,0.1,123,0
Apr 11 4:00,27,,,55,0.2,123,0
Apr 11 3:00,28,,,55.1,0.4,121,-2
Apr 11 2:00,29,,,55.1,0.5,123,0
Apr 11 1:00,29,,,55.2,0.7,123,0
Apr 11 0:00,30,,,55.3,1,122,-1
Apr 10 23:00,30,,,55.4,1.2,122,-1
Apr 10 22:00,31,,,55.4,1.4,123,-1
Apr 10 21:00,31,,,55.5,1.7,121,-3
Apr 10 20:00,32,,,55.6,2.2,122,-2
Apr 10 19:00,33,,,55.6,2.6,123,-1
Apr 10 18:00,35,,,55.6,2.9,123,-1
Apr 10 17:00,37,,,55.6,3.1,123,-2
Apr 10 16:00,37,,,55.6,3.5,123,-1
Apr 10 15:00,38,,,55.6,3.7,124,-1
Apr 10 14:00,38,,,55.5,3.9,124,-1
Apr 10 13:00,38,,,55.5,4.1,124,-1
Apr 10 12:00,37,,,55.4,4.1,124,-1
Apr 10 11:00,36,,,55.4,4.2,124,-1
Apr 10 10:00,35,,,55.4,4.2,124,-1
Apr 10 9:00,35,,,55.3,4.1,124,-2
Apr 10 8:00,34,,,55.3,4.2,123,-3
Apr 10 7:00,34,,,55.2,4.1,122,-3
Apr 10 6:00,34,,,55,3.9,122,-3
Apr 10 5:00,35,,,54.9,3.9,123,-2
Apr 10 4:00,35,,,54.8,3.9,123,-2
Apr 10 3:00,36,,,54.7,3.8,123,-2
Apr 10 2:00,35,,,54.6,3.7,123,-2
Apr 10 1:00,36,,,54.5,3.6,123,-2
Apr 10 0:00,37,,,54.3,3.5,123,-2
Apr 9 23:00,37,,,54.2,3.4,123,-2
Apr 9 22:00,36,,,54,3.3,124,-1
Apr 9 21:00,36,,,53.8,3.1,124,0
Apr 9 20:00,36,,,53.4,2.6,124,0
Apr 9 19:00,36,,,53,2.2,124,0
Apr 9 18:00,37,,,52.7,1.9,124,2
Apr 9 17:00,37,,,52.5,1.8,125,1
Apr 9 16:00,36,,,52.1,1.4,124,0
Apr 9 15:00,36,,,51.9,1.3,125,1
Apr 9 14:00,36,,,51.6,1,125,1
Apr 9 13:00,36,,,51.4,0.8,125,1
Apr 9 12:00,37,,,51.3,0.7,125,1
Apr 9 11:00,37,,,51.2,0.6,125,1
Apr 9 10:00,36,,,51.2,0.6,125,1
Apr 9 9:00,36,,,51.2,0.6,126,1
Apr 9 8:00,35,,,51.1,0.5,126,1
Apr 9 7:00,35,,,51.1,0.5,125,0
Apr 9 6:00,35,,,51.1,0.5,125,0
Apr 9 5:00,35,,,51,0.4,125,0
Apr 9 4:00,35,,,50.9,0.3,125,0
Apr 9 3:00,35,,,50.9,0.3,125,0
Apr 9 2:00,35,,,50.9,0.3,125,1
Apr 9 1:00,34,,,50.9,0.3,125,0
Apr 9 0:00,34,,,50.8,0.3,125,0
Apr 8 23:00,33,,,50.8,0.3,125,0
Apr 8 22:00,33,,,50.7,0.2,125,0
Apr 8 21:00,32,,,50.7,0.2,124,-1
Apr 8 20:00,33,,,50.8,0.3,124,-2
Apr 8 19:00,32,,,50.8,0.3,124,-2
Apr 8 18:00,33,,,50.8,0.3,122,-4
Apr 8 17:00,33,,,50.7,0.2,124,-2
Apr 8 16:00,33,,,50.7,0.2,124,-2
Apr 8 15:00,33,,,50.6,0.1,124,-3
Apr 8 14:00,34,,,50.6,0.1,124,-3
Apr 8 13:00,34,,,50.6,0.1,124,-3
Apr 8 12:00,34,,,50.6,0.1,124,-3
Apr 8 11:00,35,,,50.6,0.1,124,-3
Apr 8 10:00,34,,,50.6,0.1,124,-3
Apr 8 9:00,30,,,50.6,0.2,125,-3
Apr 8 8:00,28,,,50.6,0.2,125,-3
Apr 8 7:00,28,,,50.6,0.2,125,-3
Apr 8 6:00,27,,,50.6,0.1,125,-3
Apr 8 5:00,28,,,50.6,0.2,125,-3
Apr 8 4:00,28,,,50.6,0.2,125,-4
Apr 8 3:00,28,,,50.6,0.2,125,-3
Apr 8 2:00,29,,,50.6,0.2,124,-5
Apr 8 1:00,29,,,50.6,0.3,125,-3
Apr 8 0:00,30,,,50.5,0.2,125,-4
Apr 7 23:00,30,,,50.5,0.2,125,-4
Apr 7 22:00,30,,,50.5,0.2,125,-3
Apr 7 21:00,32,,,50.5,0.3,125,-3
Apr 7 20:00,33,,,50.5,0.3,126,-2
Apr 7 19:00,34,,,50.5,0.4,126,-2
Apr 7 18:00,36,,,50.5,0.5,126,-2
Apr 7 17:00,37,,,50.5,0.5,126,-1
Apr 7 16:00,37,,,50.5,0.6,126,0
Apr 7 15:00,39,,,50.5,0.7,127,1
Apr 7 14:00,38,,,50.5,0.8,127,1
Apr 7 13:00,38,,,50.5,0.9,127,1
Apr 7 12:00,38,,,50.5,1,127,3
Apr 7 11:00,38,,,50.5,1,127,2
Apr 7 10:00,37,,,50.5,1.1,127,3
Apr 7 9:00,35,,,50.4,1,128,4
Apr 7 8:00,35,,,50.4,1.1,128,4
Apr 7 7:00,34,,,50.4,1.1,128,3
Apr 7 6:00,34,,,50.5,1.2,128,4
Apr 7 5:00,34,,,50.4,1.2,128,5
Apr 7 4:00,34,,,50.4,1.2,129,5
Apr 7 3:00,34,,,50.4,1.3,128,5
Apr 7 2:00,34,,,50.4,1.3,129,7
Apr 7 1:00,35,,,50.3,1.3,128,5
Apr 7 0:00,35,,,50.3,1.3,129,6
Apr 6 23:00,34,,,50.3,1.4,129,6
Apr 6 22:00,34,,,50.3,1.4,128,5
Apr 6 21:00,34,,,50.2,1.3,128,5
Apr 6 20:00,34,,,50.2,1.4,128,5
Apr 6 19:00,35,,,50.1,1.4,128,5
Apr 6 18:00,35,,,50,1.4,128,5
Apr 6 17:00,35,,,50,1.4,127,4
Apr 6 16:00,35,,,49.9,1.3,126,3
Apr 6 15:00,35,,,49.8,1.3,126,2
Apr 6 14:00,35,,,49.7,1.2,126,2
Apr 6 13:00,35,,,49.6,1.1,126,1
Apr 6 12:00,34,,,49.5,1,124,-1
Apr 6 11:00,32,,,49.5,1.1,125,0
Apr 6 10:00,31,,,49.4,1,124,-2
Apr 6 9:00,29,,,49.4,1,124,-2
Apr 6 8:00,30,,,49.3,0.9,124,-2
Apr 6 7:00,30,,,49.3,0.9,125,0
Apr 6 6:00,30,,,49.3,0.9,124,-2
Apr 6 5:00,30,,,49.2,0.8,123,-3
Apr 6 4:00,29,,,49.2,0.8,124,-2
Apr 6 3:00,29,,,49.1,0.7,123,-3
Apr 6 2:00,29,,,49.1,,122,-4
Apr 6 1:00,29,,,49,0.6,123,-4
Apr 6 0:00,28,,,49,0.6,123,-3
Apr 5 23:00,28,,,48.9,0.5,123,-3
Apr 5 22:00,28,,,48.9,0.5,123,-3
Apr 5 21:00,29,,,48.9,0.5,123,-3
Apr 5 20:00,29,,,48.8,0.3,123,-3
Apr 5 19:00,31,,,48.7,0.2,123,-2
Apr 5 18:00,33,,,48.6,0.1,123,-4
Apr 5 17:00,35,,,48.6,0.1,123,-4
Apr 5 16:00,34,,,48.6,0.2,123,-4
Apr 5 15:00,37,,,48.5,0.1,124,-3
Apr 5 14:00,35,,,48.5,0.1,124,-3
Apr 5 13:00,34,,,48.5,0.1,125,-2
Apr 5 12:00,32,,,48.5,0.1,125,-2
Apr 5 11:00,29,,,48.4,0,125,-2
Apr 5 10:00,27,,,48.4,0,126,-1
Apr 5 9:00,21,,,48.4,0,126,-1
Apr 5 8:00,15,,,48.4,0,126,-1
Apr 5 7:00,11,,,48.4,-0.1,125,-3
Apr 5 6:00,12,,,48.4,-0.1,126,-2
Apr 5 5:00,12,,,48.4,-0.1,126,-2
Apr 5 4:00,13,,,48.4,-0.1,126,0
Apr 5 3:00,13,,,48.4,-0.1,126,-1
Apr 5 2:00,13,,,,,126,-1
Apr 5 1:00,14,,,48.4,-0.1,127,-1
Apr 5 0:00,15,,,48.4,-0.1,126,-3
Apr 4 23:00,16,,,48.4,0,126,-2
Apr 4 22:00,17,,,48.4,0,126,-3
Apr 4 21:00,20,,,48.4,0,126,-3
Apr 4 20:00,23,,,48.5,0.1,126,-3
Apr 4 19:00,25,,,48.5,0.1,125,-4
Apr 4 18:00,28,,,48.5,0.1,127,-2
Apr 4 17:00,31,,,48.5,0.1,127,-2
Apr 4 16:00,30,,,48.4,0,127,-2
Apr 4 15:00,33,,,48.4,0,127,-2
Apr 4 14:00,29,,,48.4,0,127,-2
Apr 4 12:00,27,,,48.4,0,127,-3
Apr 4 11:00,28,,,48.4,0.1,127,-3
Apr 4 10:00,25,,,48.4,0,127,-1
Apr 4 9:00,20,,,48.4,0,127,-3
Apr 4 8:00,16,,,48.4,0.1,127,-3
Apr 4 7:00,17,,,48.5,0.2,128,-3
Apr 4 6:00,18,,,48.5,0.1,128,-3
Apr 4 5:00,20,,,48.5,0.1,128,-3
Apr 4 4:00,21,,,48.5,0.1,126,-5
Apr 4 3:00,21,,,48.5,0.1,127,-4
Apr 4 2:00,21,,,48.5,0.1,127,-5
Apr 4 1:00,22,,,48.5,0.1,128,-4
Apr 4 0:00,21,,,48.5,0.1,129,-4
Apr 3 23:00,20,,,48.4,0,128,-5
Apr 3 22:00,21,,,48.4,0,129,-4
Apr 3 21:00,23,,,48.4,0,129,-5
Apr 3 20:00,23,,,48.4,0,129,-5
Apr 3 19:00,24,,,48.4,0.1,129,-3
Apr 3 18:00,25,,,48.4,0.3,129,1
Apr 3 17:00,27,,,48.4,0.4,129,3
Apr 3 16:00,30,,,48.4,0.4,129,4
Apr 3 15:00,29,,,48.4,0.4,129,3
Apr 3 14:00,28,,,48.4,0.4,129,3
Apr 3 13:00,29,,,48.3,0.3,130,4
Apr 3 12:00,26,,,48.4,0.5,130,4
Apr 3 11:00,26,,,48.3,0.4,130,3
Apr 3 10:00,25,,,48.4,0.5,128,1
Apr 3 9:00,24,,,48.4,0.5,130,3
Apr 3 8:00,22,,,48.3,0.4,130,3
Apr 3 7:00,20,,,48.3,0.5,131,4
Apr 3 6:00,18,,,48.4,0.6,131,4
Apr 3 5:00,15,,,48.4,0.6,131,4
Apr 3 4:00,18,,,48.4,0.6,131,4
Apr 3 3:00,19,,,48.4,0.6,131,4
Apr 3 2:00,19,,,48.4,0.7,132,5
Apr 3 1:00,18,56.6,1.2,48.4,0.7,132,5
Apr 3 0:00,20,55.6,0.2,48.4,0.7,133,6
Apr 2 23:00,19,55.6,0.2,48.4,0.8,133,6
Apr 2 22:00,20,55.6,0.2,48.4,0.8,133,5
Apr 2 21:00,22,55.6,0.2,48.4,0.8,134,6
Apr 2 20:00,22,55.6,0.2,48.4,0.9,134,7
Apr 2 19:00,23,55.5,0.1,48.3,0.8,132,5
Apr 2 18:00,24,55.5,0.1,48.1,0.6,128,1
Apr 2 17:00,26,55.5,0.2,48,0.5,126,-1
Apr 2 16:00,30,55.5,0.2,48,0.6,125,-2
Apr 2 15:00,30,55.5,0.2,48,0.6,126,1
Apr 2 14:00,30,55.5,0.2,48,0.7,126,1
Apr 2 13:00,32,55.5,0.2,48,0.7,126,1
Apr 2 12:00,31,55.5,0.2,47.9,0.6,126,1
Apr 2 11:00,27,55.5,0.5,47.9,0.6,127,2
Apr 2 10:00,24,55.4,0.4,47.9,0.6,127,2
