Date,Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Observed (degF),Elevation (ft)
2022-11-03 14:00,0.4,0.0,5.3,32.1,4140.0
2022-11-03 15:00,0.4,0.0,5.35,31.450000000000003,4140.0
2022-11-03 16:00,0.5,0.5,5.35,31.0,4140.0
2022-11-03 17:00,0.6,0.5,5.4,30.799999999999997,4140.0
2022-11-03 18:00,0.7,2.0,5.45,30.65,4140.0
2022-11-03 19:00,0.7,2.5,5.449999999999999,30.6,4140.0
2022-11-03 20:00,0.8,5.0,5.550000000000001,30.549999999999997,4140.0
2022-11-03 21:00,0.8500000000000001,4.0,5.7,31.1,4140.0
2022-11-03 22:00,1.0,4.0,5.75,31.55,4140.0
2022-11-03 23:00,1.2,5.5,5.8,32.25,4140.0
2022-11-04 00:00,1.35,6.0,5.949999999999999,32.7,4140.0
2022-11-04 01:00,1.5,5.0,6.050000000000001,33.6,4140.0
2022-11-04 02:00,1.55,5.5,6.199999999999999,34.0,4140.0
2022-11-04 03:00,1.6,5.0,6.3,34.2,4140.0
2022-11-04 04:00,1.65,4.5,6.4,34.25,4140.0
2022-11-04 05:00,1.7000000000000002,5.0,6.65,34.5,4140.0
2022-11-04 06:00,1.7000000000000002,4.0,7.0,35.150000000000006,4140.0
2022-11-04 07:00,1.7000000000000002,5.0,7.25,35.5,4140.0
2022-11-04 08:00,1.65,3.0,7.55,36.7,4140.0
2022-11-04 09:00,1.65,4.0,7.85,37.6,4140.0
2022-11-04 10:00,1.65,3.0,8.2,38.75,4140.0
2022-11-04 11:00,1.6,3.0,8.649999999999999,40.0,4140.0
2022-11-04 12:00,1.6,1.0,9.0,40.0,4140.0
2022-11-04 13:00,1.5,1.5,9.350000000000001,40.3,4140.0
2022-11-04 14:00,1.45,0.0,9.75,41.35,4140.0
2022-11-04 15:00,1.35,0.0,10.15,42.25,4140.0
2022-11-04 16:00,1.25,0.0,10.5,43.1,4140.0
2022-11-04 17:00,1.15,0.0,10.85,42.7,4140.0
2022-11-04 18:00,1.05,0.0,11.15,43.1,4140.0
2022-11-04 19:00,0.95,0.0,11.3,42.4,4140.0
2022-11-04 20:00,0.8500000000000001,0.0,11.55,43.15,4140.0
2022-11-04 21:00,0.75,0.0,11.75,43.4,4140.0
2022-11-04 22:00,0.7,0.0,11.95,43.8,4140.0
2022-11-04 23:00,0.6,0.0,12.05,42.900000000000006,4140.0
2022-11-05 00:00,0.55,1.5,12.1,36.8,4140.0
2022-11-05 01:00,0.55,0.0,12.1,34.0,4140.0
2022-11-05 02:00,0.5,0.0,12.149999999999999,32.849999999999994,4140.0
2022-11-05 03:00,0.5,0.0,12.149999999999999,32.0,4140.0
2022-11-05 04:00,0.5,0.0,12.2,31.8,4140.0
2022-11-05 05:00,0.5,0.0,12.2,31.55,4140.0
2022-11-05 06:00,0.5,0.0,12.2,31.700000000000003,4140.0
2022-11-05 07:00,0.5,0.0,12.2,31.25,4140.0
2022-11-05 08:00,0.6,0.0,12.25,31.200000000000003,4140.0
2022-11-05 09:00,0.6499999999999999,0.0,12.25,31.700000000000003,4140.0
2022-11-05 10:00,0.7,0.0,12.35,32.35,4140.0
2022-11-05 11:00,0.8,0.0,12.35,32.35,4140.0
2022-11-05 12:00,0.9,0.0,12.35,32.8,4140.0
2022-11-05 13:00,0.9,0.5,12.35,32.35,4140.0
2022-11-05 14:00,1.0,0.5,12.35,32.2,4140.0
2022-11-05 15:00,1.0,0.5,12.35,31.9,4140.0
2022-11-05 16:00,1.1,0.5,12.35,31.0,4140.0
2022-11-05 17:00,1.1,0.5,12.399999999999999,31.0,4140.0
2022-11-05 18:00,1.1,0.0,12.399999999999999,30.35,4140.0
2022-11-05 19:00,1.1,0.0,12.45,30.549999999999997,4140.0
2022-11-05 20:00,1.1,0.0,12.45,30.5,4140.0
2022-11-05 21:00,1.1,0.0,12.45,30.45,4140.0
2022-11-05 22:00,1.1,0.0,12.45,30.549999999999997,4140.0
2022-11-05 23:00,1.1,0.0,12.45,30.7,4140.0
2022-11-06 00:00,1.1,4.5,12.5,30.7,4140.0
2022-11-06 01:00,1.1,2.0,12.5,31.3,4140.0
2022-11-06 02:00,1.1,0.0,12.5,31.6,4140.0
2022-11-06 03:00,1.15,1.0,12.55,31.900000000000002,4140.0
2022-11-06 04:00,1.15,0.5,12.6,32.0,4140.0
2022-11-06 05:00,1.2000000000000002,0.0,12.649999999999999,32.1,4140.0
2022-11-06 06:00,1.25,1.0,12.8,31.900000000000002,4140.0
2022-11-06 07:00,1.4,3.5,12.850000000000001,31.6,4140.0
2022-11-06 08:00,1.6,4.0,12.95,30.55,4140.0
2022-11-06 09:00,1.8,4.0,13.0,30.2,4140.0
2022-11-06 10:00,1.85,2.5,13.05,30.4,4140.0
2022-11-06 11:00,1.85,2.0,13.05,30.65,4140.0
2022-11-06 12:00,1.9,6.0,13.15,31.700000000000003,4140.0
2022-11-06 13:00,1.9500000000000002,4.0,13.15,31.700000000000003,4140.0
2022-11-06 14:00,1.9500000000000002,3.5,13.15,31.1,4140.0
2022-11-06 15:00,1.9500000000000002,4.0,13.15,31.2,4140.0
2022-11-06 16:00,1.9500000000000002,4.0,13.15,30.35,4140.0
2022-11-06 17:00,1.9500000000000002,2.0,13.15,29.95,4140.0
2022-11-06 18:00,1.9500000000000002,2.0,13.15,29.85,4140.0
2022-11-06 19:00,1.9500000000000002,3.0,13.15,29.75,4140.0
2022-11-06 20:00,1.9500000000000002,5.0,13.15,29.9,4140.0
2022-11-06 21:00,1.9500000000000002,4.0,13.2,29.8,4140.0
2022-11-06 22:00,1.9500000000000002,3.0,13.25,29.65,4140.0
2022-11-06 23:00,2.0,5.5,13.25,29.5,4140.0
2022-11-07 00:00,2.1,9.0,13.35,29.15,4140.0
2022-11-07 01:00,2.1,4.0,13.35,28.75,4140.0
2022-11-07 02:00,2.1500000000000004,13.0,13.399999999999999,28.5,4140.0
2022-11-07 03:00,2.1500000000000004,10.0,13.399999999999999,28.3,4140.0
2022-11-07 04:00,2.2,8.0,13.399999999999999,27.95,4140.0
2022-11-07 05:00,2.2,6.0,13.399999999999999,27.6,4140.0
2022-11-07 06:00,2.2,11.5,13.399999999999999,27.7,4140.0
2022-11-07 07:00,2.2,8.0,13.399999999999999,27.9,4140.0
2022-11-07 08:00,2.2,10.0,13.399999999999999,28.299999999999997,4140.0
2022-11-07 09:00,2.2,9.0,13.45,30.2,4140.0
2022-11-07 10:00,2.25,15.5,13.399999999999999,30.65,4140.0
2022-11-07 11:00,2.25,16.5,13.45,30.0,4140.0
2022-11-07 12:00,2.35,17.5,13.5,30.75,4140.0
2022-11-07 13:00,2.35,9.0,13.5,30.75,4140.0
2022-11-07 14:00,2.35,10.0,13.5,30.6,4140.0
2022-11-07 15:00,2.4000000000000004,17.0,13.5,30.299999999999997,4140.0
2022-11-07 16:00,2.4000000000000004,14.5,13.5,30.1,4140.0
2022-11-07 17:00,2.45,11.5,13.55,29.85,4140.0
2022-11-07 18:00,2.4000000000000004,10.0,13.55,29.85,4140.0
2022-11-07 19:00,2.45,12.0,13.5,29.85,4140.0
2022-11-07 20:00,2.45,8.5,13.5,29.95,4140.0
2022-11-07 21:00,2.4000000000000004,10.0,13.55,30.0,4140.0
2022-11-07 22:00,2.4000000000000004,8.5,13.55,30.2,4140.0
2022-11-07 23:00,2.4000000000000004,8.5,13.55,30.299999999999997,4140.0
2022-11-08 00:00,2.35,12.0,13.55,30.4,4140.0
2022-11-08 01:00,2.35,8.5,13.55,30.299999999999997,4140.0
2022-11-08 02:00,2.35,9.0,13.55,30.5,4140.0
2022-11-08 03:00,2.35,7.0,13.55,30.5,4140.0
2022-11-08 04:00,2.35,6.0,13.55,30.5,4140.0
2022-11-08 05:00,2.35,6.0,13.55,30.2,4140.0
2022-11-08 06:00,2.35,7.0,13.6,30.1,4140.0
2022-11-08 07:00,2.4000000000000004,10.0,13.6,29.8,4140.0
2022-11-08 08:00,2.4000000000000004,6.0,13.55,30.2,4140.0
2022-11-08 09:00,2.3,7.5,13.55,31.15,4140.0
2022-11-08 10:00,2.4000000000000004,10.0,13.55,32.0,4140.0
2022-11-08 11:00,2.4000000000000004,11.0,13.6,33.0,4140.0
2022-11-08 12:00,2.4000000000000004,11.0,13.6,34.0,4140.0
2022-11-08 13:00,2.4000000000000004,9.0,13.6,34.099999999999994,4140.0
2022-11-08 14:00,2.4000000000000004,7.0,13.6,33.55,4140.0
2022-11-08 15:00,2.4000000000000004,8.0,13.6,32.650000000000006,4140.0
2022-11-08 16:00,2.4000000000000004,7.0,13.6,31.8,4140.0
2022-11-08 17:00,2.4000000000000004,7.0,13.6,31.450000000000003,4140.0
2022-11-08 18:00,2.35,8.5,13.6,30.65,4140.0
2022-11-08 19:00,2.3,8.0,13.6,30.5,4140.0
2022-11-08 20:00,2.3,10.0,13.6,29.75,4140.0
2022-11-08 21:00,2.3,10.0,13.55,30.049999999999997,4140.0
2022-11-08 22:00,2.3,9.0,13.6,28.85,4140.0
2022-11-08 23:00,2.6,9.0,14.9,28.9,3990.0
2022-11-09 00:00,2.25,10.0,13.55,28.1,4140.0
2022-11-09 01:00,2.25,9.0,13.55,27.5,4140.0
2022-11-09 02:00,2.25,10.0,13.55,27.75,4140.0
2022-11-09 03:00,2.25,9.0,13.55,27.3,4140.0
2022-11-09 04:00,2.25,9.0,13.55,26.5,4140.0
2022-11-09 05:00,2.25,9.0,13.55,26.6,4140.0
2022-11-09 06:00,2.25,9.0,13.5,26.2,4140.0
2022-11-09 07:00,2.25,9.0,13.5,26.0,4140.0
2022-11-09 08:00,2.25,9.0,13.45,26.049999999999997,4140.0
2022-11-09 09:00,2.15,9.0,13.5,27.3,4140.0
2022-11-09 10:00,2.3,8.0,13.6,29.85,4140.0
2022-11-09 11:00,2.3,8.0,13.6,32.2,4140.0
2022-11-09 12:00,2.35,8.0,13.65,32.8,4140.0
2022-11-09 13:00,2.35,8.0,13.6,33.75,4140.0
2022-11-09 14:00,2.35,8.0,13.6,33.0,4140.0
2022-11-09 15:00,2.4000000000000004,9.0,13.65,32.1,4140.0
2022-11-09 16:00,2.35,9.5,13.6,31.3,4140.0
2022-11-09 17:00,2.35,9.0,13.6,30.299999999999997,4140.0
2022-11-09 18:00,2.35,9.0,13.6,29.1,4140.0
2022-11-09 19:00,2.35,9.0,13.6,29.15,4140.0
2022-11-09 20:00,2.3,8.5,13.6,28.299999999999997,4140.0
2022-11-09 21:00,2.35,8.5,13.6,28.45,4140.0
2022-11-09 22:00,2.3,8.5,13.6,28.299999999999997,4140.0
2022-11-09 23:00,2.3,8.5,13.6,28.1,4140.0
2022-11-10 00:00,2.3,9.0,13.6,27.4,4140.0
2022-11-10 01:00,2.3,7.5,13.55,26.25,4140.0
2022-11-10 02:00,2.3,7.5,13.55,26.65,4140.0
2022-11-10 03:00,2.3,7.5,13.55,27.6,4140.0
2022-11-10 04:00,2.3,7.5,13.6,27.75,4140.0
2022-11-10 05:00,2.3,7.5,13.6,28.2,4140.0
2022-11-10 06:00,2.3,7.5,13.6,28.25,4140.0
2022-11-10 07:00,2.3,7.5,13.6,28.05,4140.0
2022-11-10 08:00,2.3,7.5,13.55,28.85,4140.0
2022-11-10 09:00,2.3,7.5,13.6,30.549999999999997,4140.0
2022-11-10 10:00,2.3,6.5,13.6,32.8,4140.0
2022-11-10 11:00,2.35,8.5,13.649999999999999,33.3,4140.0
2022-11-10 12:00,2.35,7.0,13.65,33.8,4140.0
2022-11-10 13:00,2.4000000000000004,7.0,13.65,34.6,4140.0
2022-11-10 14:00,2.4000000000000004,7.0,13.6,34.05,4140.0
2022-11-10 15:00,2.35,7.5,13.65,33.0,4140.0
2022-11-10 16:00,2.4000000000000004,8.0,13.65,32.15,4140.0
2022-11-10 17:00,2.3,11.5,13.649999999999999,30.35,4140.0
2022-11-10 18:00,2.3,7.0,13.6,29.9,4140.0
2022-11-10 19:00,2.3,7.0,13.6,29.6,4140.0
2022-11-10 20:00,2.3,7.0,13.6,29.5,4140.0
2022-11-10 21:00,2.3,6.0,13.6,29.9,4140.0
2022-11-10 22:00,2.3,6.0,13.6,29.55,4140.0
2022-11-10 23:00,2.3,6.0,13.6,29.75,4140.0
2022-11-11 00:00,2.3,6.5,13.6,30.55,4140.0
2022-11-11 01:00,2.3,6.0,13.6,30.65,4140.0
2022-11-11 02:00,2.3,6.0,13.6,30.65,4140.0
2022-11-11 03:00,2.3,6.5,13.6,31.0,4140.0
2022-11-11 04:00,2.3,6.5,13.55,30.549999999999997,4140.0
2022-11-11 05:00,2.3,7.0,13.6,30.8,4140.0
2022-11-11 06:00,2.3,6.5,13.6,30.85,4140.0
2022-11-11 07:00,2.3,6.5,13.6,30.85,4140.0
2022-11-11 08:00,2.3,6.0,13.55,31.0,4140.0
2022-11-11 09:00,2.3,6.0,13.55,31.55,4140.0
2022-11-11 10:00,2.3,6.0,13.65,32.5,4140.0
2022-11-11 11:00,2.3,6.0,13.65,33.05,4140.0
2022-11-11 12:00,2.3,6.0,13.65,32.599999999999994,4140.0
2022-11-11 13:00,2.3,6.0,13.7,32.8,4140.0
2022-11-11 14:00,2.3,7.0,13.65,32.55,4140.0
2022-11-11 15:00,2.3,12.0,13.7,32.8,4140.0
2022-11-11 16:00,2.3,7.0,13.65,32.35,4140.0
2022-11-11 17:00,2.3,6.0,13.600000000000001,31.55,4140.0
2022-11-11 18:00,2.3,7.0,13.65,31.25,4140.0
2022-11-11 19:00,2.3,7.5,13.65,31.8,4140.0
2022-11-11 20:00,2.3,7.5,13.7,31.1,4140.0
2022-11-11 21:00,2.3,7.5,13.649999999999999,31.1,4140.0
2022-11-11 22:00,2.3,7.5,13.6,30.3,4140.0
2022-11-11 23:00,2.3,7.5,13.6,30.85,4140.0
2022-11-12 00:00,2.3,7.5,13.65,29.5,4140.0
2022-11-12 01:00,2.3,6.0,13.6,29.1,4140.0
2022-11-12 02:00,2.3,7.5,13.6,29.0,4140.0
2022-11-12 03:00,2.3,8.5,13.6,28.700000000000003,4140.0
2022-11-12 04:00,2.3,7.0,13.6,28.6,4140.0
2022-11-12 05:00,2.3,7.0,13.6,28.299999999999997,4140.0
2022-11-12 06:00,2.25,8.0,13.6,27.55,4140.0
2022-11-12 07:00,2.25,8.0,13.6,27.25,4140.0
2022-11-12 08:00,2.25,8.0,13.65,27.05,4140.0
2022-11-12 09:00,2.2,8.0,13.65,29.200000000000003,4140.0
2022-11-12 10:00,2.3,8.0,13.7,31.3,4140.0
2022-11-12 11:00,2.3,8.5,13.65,33.599999999999994,4140.0
2022-11-12 12:00,2.3,8.5,13.65,34.650000000000006,4140.0
2022-11-12 13:00,2.3,9.0,13.65,35.0,4140.0
2022-11-12 14:00,2.3,9.0,13.65,35.0,4140.0
2022-11-12 15:00,2.3,8.5,13.65,34.7,4140.0
2022-11-12 16:00,2.3,9.5,13.65,33.2,4140.0
2022-11-12 17:00,2.3,8.5,13.7,31.450000000000003,4140.0
2022-11-12 18:00,2.3,9.5,13.7,30.75,4140.0
2022-11-12 19:00,2.25,9.0,13.7,29.85,4140.0
2022-11-12 20:00,2.25,8.0,13.7,29.6,4140.0
2022-11-12 21:00,2.2,8.0,13.7,29.3,4140.0
2022-11-12 22:00,2.2,8.0,13.65,29.3,4140.0
2022-11-12 23:00,2.25,8.0,13.65,28.700000000000003,4140.0
2022-11-13 00:00,2.2,9.0,13.65,28.15,4140.0
2022-11-13 01:00,2.2,8.0,13.65,27.95,4140.0
2022-11-13 02:00,2.2,8.0,13.65,28.049999999999997,4140.0
2022-11-13 03:00,2.2,8.0,13.65,28.299999999999997,4140.0
2022-11-13 04:00,2.2,9.0,13.65,29.75,4140.0
2022-11-13 05:00,2.2,10.0,13.65,29.15,4140.0
2022-11-13 06:00,2.2,9.0,13.65,29.15,4140.0
2022-11-13 07:00,2.2,7.0,13.65,29.0,4140.0
2022-11-13 08:00,2.2,8.0,13.600000000000001,30.2,4140.0
2022-11-13 09:00,2.2,7.5,13.65,32.3,4140.0
2022-11-13 10:00,2.25,7.5,13.65,33.9,4140.0
2022-11-13 11:00,2.3,8.5,13.7,35.5,4140.0
2022-11-13 12:00,2.3,7.0,13.7,36.4,4140.0
2022-11-13 13:00,2.35,8.0,13.65,37.0,4140.0
2022-11-13 14:00,2.35,8.0,13.65,36.65,4140.0
2022-11-13 15:00,2.35,7.0,13.65,35.2,4140.0
2022-11-13 16:00,2.35,8.5,13.7,34.0,4140.0
2022-11-13 17:00,2.3,5.0,13.75,32.7,4140.0
2022-11-13 18:00,2.3,5.5,13.75,31.45,4140.0
2022-11-13 19:00,2.25,5.0,13.7,31.200000000000003,4140.0
2022-11-13 20:00,2.25,6.0,13.7,30.5,4140.0
2022-11-13 21:00,2.25,6.0,13.7,30.1,4140.0
2022-11-13 22:00,2.25,6.0,13.7,30.45,4140.0
2022-11-13 23:00,2.25,6.0,13.7,29.85,4140.0
2022-11-14 00:00,2.25,7.5,13.7,29.75,4140.0
2022-11-14 01:00,2.25,6.0,13.7,30.1,4140.0
2022-11-14 02:00,2.25,7.5,13.7,29.85,4140.0
2022-11-14 03:00,2.25,7.0,13.7,29.65,4140.0
2022-11-14 04:00,2.25,7.0,13.65,30.4,4140.0
2022-11-14 05:00,2.25,8.0,13.7,30.65,4140.0
2022-11-14 06:00,2.25,7.0,13.7,31.0,4140.0
2022-11-14 07:00,2.25,7.0,13.75,30.299999999999997,4140.0
2022-11-14 08:00,2.25,7.5,13.65,30.200000000000003,4140.0
2022-11-14 09:00,2.25,7.5,13.65,33.15,4140.0
2022-11-14 10:00,2.3,7.0,13.7,34.8,4140.0
2022-11-14 11:00,2.3,7.5,13.65,35.85,4140.0
2022-11-14 12:00,2.3,8.0,13.7,37.05,4140.0
2022-11-14 13:00,2.35,8.0,13.65,38.2,4140.0
2022-11-14 14:00,2.35,7.0,13.65,37.85,4140.0
2022-11-14 15:00,2.35,8.0,13.65,37.05,4140.0
2022-11-14 16:00,2.35,7.0,13.7,35.150000000000006,4140.0
2022-11-14 17:00,2.3,7.5,13.75,33.349999999999994,4140.0
2022-11-14 18:00,2.3,7.0,13.75,32.35,4140.0
2022-11-14 19:00,2.3,8.0,13.7,31.900000000000002,4140.0
2022-11-14 20:00,2.3,7.5,13.600000000000001,31.75,4140.0
2022-11-14 21:00,2.3,7.0,13.75,31.35,4140.0
2022-11-14 22:00,2.3,7.5,13.7,31.65,4140.0
2022-11-14 23:00,2.3,6.5,13.65,31.650000000000002,4140.0
2022-11-15 00:00,2.3,8.0,13.7,33.35,4140.0
2022-11-15 01:00,2.3,7.5,13.7,33.650000000000006,4140.0
2022-11-15 02:00,2.3,7.5,13.7,34.25,4140.0
2022-11-15 03:00,2.3,8.0,13.7,34.35,4140.0
2022-11-15 04:00,2.3,7.5,13.7,34.1,4140.0
2022-11-15 05:00,2.3,8.0,13.7,34.349999999999994,4140.0
2022-11-15 06:00,2.25,7.5,13.75,33.8,4140.0
2022-11-15 07:00,2.25,8.0,13.7,33.45,4140.0
2022-11-15 08:00,2.2,7.0,13.7,34.35,4140.0
2022-11-15 09:00,2.2,7.0,13.65,35.150000000000006,4140.0
2022-11-15 10:00,2.25,7.0,13.7,35.2,4140.0
2022-11-15 11:00,2.3,7.5,13.7,37.75,4140.0
2022-11-15 12:00,2.3,8.0,13.7,40.2,4140.0
2022-11-15 13:00,2.3,7.5,13.65,41.349999999999994,4140.0
2022-11-15 14:00,2.3,7.0,13.65,40.7,4140.0
2022-11-15 15:00,2.3,7.5,13.7,39.2,4140.0
2022-11-15 16:00,2.3,7.0,13.7,36.75,4140.0
2022-11-15 17:00,2.3,7.0,13.75,35.3,4140.0
2022-11-15 18:00,2.3,7.5,13.75,35.3,4140.0
2022-11-15 19:00,2.3,7.5,13.75,35.4,4140.0
2022-11-15 20:00,2.3,8.0,13.65,35.4,4140.0
2022-11-15 21:00,2.3,7.0,13.75,35.4,4140.0
2022-11-15 22:00,2.3,7.5,13.75,35.3,4140.0
2022-11-15 23:00,2.3,7.5,13.75,35.4,4140.0
2022-11-16 00:00,2.25,7.0,13.7,35.3,4140.0
2022-11-16 01:00,2.25,7.5,13.75,35.2,4140.0
2022-11-16 02:00,2.25,7.5,13.7,35.2,4140.0
2022-11-16 03:00,2.2,8.0,13.75,35.2,4140.0
2022-11-16 04:00,2.2,8.0,13.75,35.2,4140.0
2022-11-16 05:00,2.2,7.5,13.75,35.4,4140.0
2022-11-16 06:00,2.25,7.5,13.75,35.3,4140.0
2022-11-16 07:00,2.25,7.5,13.75,35.4,4140.0
2022-11-16 08:00,2.25,7.0,13.7,35.4,4140.0
2022-11-16 09:00,2.25,7.5,13.7,36.2,4140.0
2022-11-16 10:00,2.3,7.0,13.7,36.65,4140.0
2022-11-16 11:00,2.3,7.5,13.75,40.1,4140.0
2022-11-16 12:00,2.35,7.0,13.7,42.55,4140.0
2022-11-16 13:00,2.35,7.5,13.7,44.95,4140.0
2022-11-16 14:00,2.35,8.0,13.6,45.1,4140.0
2022-11-16 15:00,2.35,7.5,13.65,43.45,4140.0
2022-11-16 16:00,2.35,7.5,13.7,38.8,4140.0
2022-11-16 17:00,2.35,6.5,13.75,37.15,4140.0
2022-11-16 18:00,2.3,7.5,13.8,37.3,4140.0
2022-11-16 19:00,2.3,7.0,13.75,37.5,4140.0
2022-11-16 20:00,2.3,7.5,13.75,37.65,4140.0
2022-11-16 21:00,2.3,7.5,13.75,36.95,4140.0
2022-11-16 22:00,2.3,7.5,13.75,35.150000000000006,4140.0
2022-11-16 23:00,2.2,7.5,13.75,35.05,4140.0
2022-11-17 00:00,2.2,7.5,13.7,34.900000000000006,4140.0
2022-11-17 01:00,2.25,7.5,13.75,34.45,4140.0
2022-11-17 02:00,2.25,7.0,13.65,33.45,4140.0
2022-11-17 03:00,2.25,8.0,13.75,32.1,4140.0
2022-11-17 04:00,2.25,7.5,13.649999999999999,29.9,4140.0
2022-11-17 05:00,2.25,7.5,13.399999999999999,30.35,4140.0
2022-11-17 06:00,2.25,7.5,13.7,31.0,4140.0
2022-11-17 07:00,2.25,7.0,13.649999999999999,29.75,4140.0
2022-11-17 08:00,2.2,7.0,13.6,29.75,4140.0
2022-11-17 09:00,2.25,7.5,13.65,30.8,4140.0
2022-11-17 10:00,2.25,8.0,13.7,31.799999999999997,4140.0
2022-11-17 11:00,2.3,8.0,13.75,33.6,4140.0
2022-11-17 12:00,2.3,7.0,13.7,32.9,4140.0
2022-11-17 13:00,2.35,8.0,13.649999999999999,33.15,4140.0
2022-11-17 14:00,2.25,7.5,13.7,33.05,4140.0
2022-11-17 15:00,2.3,7.5,13.7,32.45,4140.0
2022-11-17 16:00,2.3,7.5,13.75,31.55,4140.0
2022-11-17 17:00,2.25,8.0,13.75,30.9,4140.0
2022-11-17 18:00,2.25,8.0,13.75,30.049999999999997,4140.0
2022-11-17 19:00,2.2,8.5,13.75,29.3,4140.0
2022-11-17 20:00,2.25,7.0,13.7,28.950000000000003,4140.0
2022-11-17 21:00,2.2,7.5,13.649999999999999,28.5,4140.0
2022-11-17 22:00,2.2,7.5,13.7,27.9,4140.0
2022-11-17 23:00,2.2,7.5,13.6,27.95,4140.0
2022-11-18 00:00,2.2,7.0,13.7,27.35,4140.0
2022-11-18 01:00,2.2,8.0,13.649999999999999,27.549999999999997,4140.0
2022-11-18 02:00,2.2,7.5,13.7,27.35,4140.0
2022-11-18 03:00,2.2,7.5,13.65,26.95,4140.0
2022-11-18 04:00,2.2,7.5,13.6,27.25,4140.0
